# "asas_sn_id":420907231938,"ra_deg":322.55025,"dec_deg":-44.25569,"name":"EQ Gru"
asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
420907231938,2456777.8511908,11.578120133311781,0.10753995669910262,13.800686275901136,0.0100958753179043,17.13343175049512,2.48,be001261,be,G,V
420907231938,2456779.8471008,7.556914229087256,0.13195792999923614,14.263920171999382,0.018980304428463723,16.911267658112358,2.29,be001866,be,B,V
420907231938,2456789.8206594,9.185641941948504,0.18025364751321285,14.052007623188967,0.021329796977715844,16.572646239618063,1.54,bf003928,bf,G,V
420907231938,2456790.7765269,12.28271441782297,0.20841175114868507,13.736545518772072,0.0184433590501315,16.41505088691689,1.60,bf004271,bf,G,V
420907231938,2456791.811414,9.0019804032247,0.33818886672109627,14.073936246591334,0.04083508048188821,15.889458127695754,1.75,bf004628,bf,B,V
420907231938,2456792.7928917,7.81054163945876,0.14593516116437596,14.228078524410288,0.020309113311335166,16.801956538516162,1.62,be004882,be,G,V
420907231938,2456792.7928988,7.649269787689224,0.2029016780878408,14.250731457911854,0.028832203385523014,16.444142296531286,1.54,bf004987,bf,G,V
420907231938,2456796.792243,11.85725587583709,0.14318690073669854,13.774820924753131,0.01312596584008358,16.822598171337845,1.51,be006034,be,G,V
420907231938,2456803.8203299,8.28211548717945,0.1737401035301018,14.164428199311466,0.022801896316467538,16.61260620375429,1.82,bf007201,bf,B,V
420907231938,2456803.8203299,8.819965960730718,0.1343407852643851,14.096114131907209,0.016555913404747623,16.891836687280147,1.71,be007095,be,B,V
420907231938,2456805.8072653,12.072227582103233,0.16345132476710209,13.755312869423875,0.014716793751128856,16.678885281497465,2.00,bf007840,bf,G,V
420907231938,2456805.8072653,12.576439091129764,0.13617843693019152,13.710887174953093,0.011769630423122863,16.877085531189074,1.67,be007734,be,G,V
420907231938,2456809.8095792,9.070464696061455,0.11982509905772824,14.065707561242304,0.014359206198706603,17.015986901954122,1.66,bf008793,bf,G,V
420907231938,2456809.8095792,9.046091471437814,0.09107012302688193,14.06862896728899,0.010942766218117912,17.313916585512292,1.81,be008687,be,G,V
420907231938,2456810.7891527,7.916229610303252,0.14047945149920515,14.21348544843706,0.019288861426992834,16.843324386511153,1.56,bf009211,bf,G,V
420907231938,2456810.7891527,7.620996278019199,0.09737151523636105,14.254752030707568,0.013887764756301999,17.241276572962555,1.78,be009105,be,G,V
420907231938,2456814.7937339,11.774088791138334,0.12003911256314738,13.78246313800684,0.011081731977636625,17.014049453501688,1.75,bf010201,bf,G,V
420907231938,2456816.7960322,7.024607339183472,0.1298940760716395,14.3432262717546,0.020099232071490968,16.928383030776185,2.64,bf010751,bf,G,V
420907231938,2456816.7960322,7.656363879570325,0.1011374647139138,14.249724990213203,0.014358255249111692,17.200076237030395,2.42,be010645,be,G,V
420907231938,2456826.7827041,10.241909088335703,0.1315357344464524,13.933829113197667,0.013959665445688002,16.914747008482294,1.58,bf012299,bf,B,V
420907231938,2456826.7827041,10.51435379051398,0.10413788667410961,13.905324938979199,0.010765602654789555,17.16833449353031,1.40,be012190,be,B,V
420907231938,2456829.7804063,10.027335037105544,0.09548113435428537,13.956817589529273,0.010350092153637514,17.262562468780654,1.52,be013325,be,G,V
420907231938,2456829.7804126,9.941985019933176,0.12427265903333212,13.966098643439246,0.0135867210561389,16.976417416341704,1.53,bf013434,bf,G,V
420907231938,2456832.7652143,8.80444955850156,0.18139685491418228,14.098025880299884,0.022394414683374476,16.56578201136037,1.83,be014427,be,B,V
420907231938,2456832.7652143,8.162514886801038,0.2055962126093672,14.18022143864082,0.027378099426437676,16.429818618574135,1.46,bf014536,bf,B,V
420907231938,2456839.7532756,12.146100539162088,0.11179889093502883,13.748689225348548,0.010004901016027202,17.09126265544463,2.21,be016644,be,G,V
420907231938,2456839.7532756,11.95959811883301,0.12724407899483037,13.765489939020132,0.011564667988159437,16.95076243717067,1.60,bf016754,bf,G,V
420907231938,2456840.8200687,8.009988439769272,0.10198358324961178,14.200701681268955,0.013839186130795983,17.191030725985964,2.55,bf017122,bf,G,V
420907231938,2456841.7566076,9.886060632447602,0.13907644890640675,13.972223230228597,0.015291232653679456,16.85422241082392,1.51,bf017500,bf,G,V
420907231938,2456841.7566076,10.402723463888794,0.08979603441680446,13.916913770092949,0.00938258001132812,17.3292134993619,1.46,be017382,be,G,V
420907231938,2456844.6437572,8.833987010434061,0.13539072891554596,14.094389513685181,0.01665882410784034,16.883384077683612,1.43,bf018081,bf,G,V
420907231938,2456844.6437572,9.210278849321206,0.1010503432368868,14.049099456905374,0.011925516197960359,17.20101191113095,1.43,be017963,be,G,V
