oid,filter,mjd,mag,magerr,clrcoeff
1583108100015790,zg,58330.22078,14.486096,0.009454217,-0.044180702
1583108100015790,zg,58330.22215,14.479362,0.009453243,-0.04318422
1583108100015790,zg,58567.4737,14.750822,0.009515408,-0.010812447
1583108100015790,zg,58606.49413,14.827435,0.009542386,-0.052256156
1583108100015790,zg,58653.37905,14.798833,0.00953178,-0.050532997
1583108100015790,zg,58653.3795,14.813884,0.0095372815,-0.03998854
1583108100015790,zg,58654.3325,14.652001,0.009487063,-0.036497366
1583108100015790,zg,58654.33295,14.638312,0.009483677,-0.041996818
1583108100015790,zg,58699.21119,14.554458,0.009465645,-0.04015043
1583108100015790,zg,58699.21164,14.546444,0.009464157,-0.03733795
1583108100015790,zg,58703.2064,14.863414,0.009556664,-0.047627717
1583108100015790,zg,58703.20686,14.860654,0.009555533,-0.046080276
1583108100015790,zg,59045.27435,14.696106,0.00949885,-0.04974093
1583108100015790,zg,59061.18965,14.645499,0.0094854385,-0.04328193
1583108100015790,zg,59338.45421,14.57493,0.009469628,-0.057823624
1583108100015790,zg,59338.45467,14.572475,0.009469137,-0.062966324
1583108100015790,zg,59385.3148,14.504383,0.009456997,-0.040477104
1583108100015790,zg,59385.31526,14.4770155,0.009452908,-0.042878248
1583108100015790,zg,59386.33378,14.746365,0.009513976,-0.03767843
1583108100015790,zg,59386.33424,14.74498,0.0095135365,-0.060694937
1583108100015790,zg,59393.33803,14.477173,0.009452931,-0.044905286
1583108100015790,zg,59393.3385,14.496645,0.009455795,-0.049436543
1583208100022236,zr,58246.42031,14.5925045,0.008833266,0.08743172
1583208100022236,zr,58247.46138,14.177205,0.008708298,0.08650076
1583208100022236,zr,58280.39602,14.246904,0.008723153,0.08545044
1583208100022236,zr,58280.39739,14.298558,0.008735612,0.08400797
1583208100022236,zr,58285.35549,14.167026,0.008706309,0.08393243
1583208100022236,zr,58285.35685,14.200758,0.008713073,0.0801211
1583208100022236,zr,58580.51378,14.427642,0.008772579,0.0822394
1583208100022236,zr,58593.36327,14.177616,0.008708379,0.07837265
1583208100022236,zr,58618.28091,14.236666,0.008720833,0.07979441
1583208100022236,zr,58637.3594,14.190896,0.008711045,0.08654847
1583208100022236,zr,58651.35262,14.534062,0.008809896,0.08447787
1583208100022236,zr,58651.35307,14.527199,0.008807291,0.078957416
1583208100022236,zr,59086.16949,14.5061655,0.008799478,0.082093894
1583208100022236,zr,59094.16976,14.332103,0.008744396,0.08419903
1583208100022236,zr,59346.41857,14.314324,0.008739672,0.085531384
1583208100022236,zr,59346.41903,14.312049,0.0087390775,0.084397905
1583208100022236,zr,59378.33564,14.173322,0.0087075345,0.07963739
1583208100022236,zr,59378.3361,14.16885,0.008706663,0.081342585
1583208100022236,zr,59392.40011,14.551216,0.0088165365,0.081919074
1583208100022236,zr,59392.40057,14.539502,0.008811984,0.085227385
1583208100022236,zr,59393.39778,14.219677,0.008717088,0.07998454
1583208100022236,zr,59393.39825,14.208254,0.008714646,0.07874762
1583208100022236,zr,59424.35604,14.160434,0.008705046,0.083280094
1583208100022236,zr,59424.35652,14.173722,0.008707613,0.083405145
1583208100022236,zr,59435.2817,14.333405,0.008744749,0.08388859
1583208100022236,zr,59435.28358,14.324319,0.008742309,0.08443133
1583208100022236,zr,59448.28078,14.440742,0.008776824,0.08100303
1583208100022236,zr,59448.28125,14.437834,0.008775873,0.08609525
1583208100022236,zr,59459.21972,14.609113,0.0088403,0.083262555
536113300002503,zg,58203.50271,14.493592,0.01890429,-0.0098118
536113300002503,zg,58206.49128,14.905262,0.017889973,-0.030503584
536113300002503,zg,58209.48657,14.509078,0.018863386,-0.009059794
536113300002503,zg,58232.4846,14.644458,0.018514214,-0.009728535
536113300002503,zg,58235.42203,14.86874,0.017973112,-0.019822482
536113300002503,zg,58235.48298,14.74673,0.018261269,-0.0062839515
536113300002503,zg,58247.38087,14.594451,0.018641375,-0.027062414
536113300002503,zg,58252.42379,14.524742,0.018822202,-0.03650945
536113300002503,zg,58255.40092,14.868709,0.017973185,-0.010652383
536113300002503,zg,58258.36115,14.660165,0.018474733,-0.016419478
536113300002503,zg,58261.42574,14.592934,0.018645268,-0.007340249
536113300002503,zg,58270.45113,14.86185,0.017988965,-0.016388977
536113300002503,zg,58273.31242,14.724008,0.018316604,-0.03536951
536113300002503,zg,58276.36203,14.499996,0.018887354,-0.030487454
536113300002503,zg,58279.34186,14.509777,0.018861542,-0.029189695
536113300002503,zg,58282.36507,14.784636,0.01817009,-0.029078323
536113300002503,zg,58288.37761,14.791691,0.01815328,-0.029214261
536113300002503,zg,58291.35593,14.683011,0.018417705,-0.035826154
536113300002503,zg,58294.36772,14.458712,0.01899711,-0.03316879
536113300002503,zg,58297.23877,14.447331,0.019027594,-0.039588388
536113300002503,zg,58300.29942,14.841397,0.01803632,-0.03664813
536113300002503,zg,58303.28979,14.449648,0.01902138,-0.03196007
536113300002503,zg,58306.2993,14.645156,0.018512454,-0.07007693
536113300002503,zg,58311.25583,14.843173,0.018032193,-0.025989048
536113300002503,zg,58314.31864,14.438719,0.019050729,-0.027749917
536113300002503,zg,58319.19303,14.512221,0.018855106,-0.011168494
536113300002503,zg,58326.16773,14.465012,0.018980276,-0.05811237
536113300002503,zg,58330.19,14.531142,0.018805437,-0.017182413
536113300002503,zg,58333.17623,14.497142,0.0188949,-0.033579767
536113300002503,zg,58336.25135,14.5573435,0.018737132,-0.019293224
536113300002503,zg,58338.17513,14.839496,0.018040746,-0.020261891
536113300002503,zg,58343.18882,14.566146,0.01871431,-0.028229801
536113300002503,zg,58343.18973,14.573579,0.018695092,-0.0199094
536113300002503,zg,58344.16241,14.477732,0.01894638,-0.009882673
536113300002503,zg,58345.17684,14.787941,0.01816221,-0.0285013
536113300002503,zg,58346.16716,14.460013,0.01899363,-0.020811874
536113300002503,zg,58346.16813,14.469723,0.018967707,-0.018500464
536113300002503,zg,58347.19814,14.79079,0.018155426,-0.0337648
536113300002503,zg,58348.16854,14.443377,0.01903821,-0.030196875
