oid,filter,mjd,mag,magerr,clrcoeff
835204200011485,zr,58283.47796,13.904394,0.014736392,0.09123864
835204200011485,zr,58287.47237,13.929965,0.014729917,0.0915549
835104200007176,zg,58297.46373,14.895814,0.018486487,-0.046277322
835104200007176,zg,58300.46604,14.970014,0.018531708,-0.057874784
835104200007176,zg,58303.44566,15.003756,0.01855379,-0.10303055
835204200011485,zr,58303.4714,13.932434,0.014729304,0.097117744
835204200011485,zr,58310.44624,13.782393,0.01477035,0.10109584
835204200011485,zr,58313.42954,13.820228,0.014759296,0.09928785
835104200007176,zg,58313.47343,14.865669,0.018469369,-0.04307516
835104200007176,zg,58319.42598,14.935841,0.018510323,-0.072913654
835204200011485,zr,58319.44991,13.933542,0.0147290295,0.07191589
835104200007176,zg,58322.47132,14.943115,0.018514795,-0.06484872
835204200011485,zr,58322.48972,13.892915,0.014739374,0.08441521
835104200007176,zg,58325.428,14.907178,0.018493123,-0.0315787
835204200011485,zr,58325.47663,13.821974,0.014758796,0.09039418
835204200011485,zr,58328.42416,13.9341955,0.014728867,0.09624674
835204200011485,zr,58331.42431,13.845841,0.014752074,0.09446197
1841211200023506,zr,58332.4152,13.963925,0.013165849,0.10842938
1841211200023506,zr,58332.41566,13.960793,0.013167441,0.107056364
835204200011485,zr,58334.44957,13.7880125,0.01476868,0.09509195
835104200007176,zg,58334.47066,14.959805,0.018525219,-0.08938595
835104200007176,zg,58337.39957,15.007273,0.018556146,-0.101835795
835204200011485,zr,58337.49073,13.807477,0.014762971,0.09483768
1841111200012405,zg,58338.43168,14.911887,0.014259589,-0.04375179
835104200007176,zg,58338.43213,14.92192,0.018501889,-0.07619101
835104200007176,zg,58340.49927,14.909238,0.018494338,-0.07526269
835104200007176,zg,58343.426,15.010082,0.018558037,-0.10619277
835204200011485,zr,58343.4928,13.846009,0.014752028,0.09907236
835204200011485,zr,58346.42814,13.781819,0.014770521,0.093800895
835104200007176,zg,58346.49126,15.020177,0.01856489,-0.06463584
835104200007176,zg,58349.40303,15.010129,0.018558068,-0.1187309
835204200011485,zr,58349.48097,13.866011,0.014746541,0.07998921
