ASASSN_id,distance,distance_low,distance_high,g_mag,Gaia_name,G_mag,G_mag_err,abs_mag_G,abs_mag_G_low,abs_mag_G_high,ext_correct_G,ext_correct_G_low,ext_correct_G_high,BP_RP,BP_RP_err,BP_RP_0,BP_RP_0_err,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,FinalType,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name
85899579410,9542,7430,11975,16.291,Gaia DR3 384325806930576384,16.040,0.013,+0.900,+1.443,+0.407,0.242,0.118,0.242,+0.763,0.050,+0.645,0.050,14.865,0.044,14.853,0.107,-0.105,+0.438,-0.598,0.072,0.072,0.072,0.031,0.031,0.031,RRAB,RRL_ab,NA,RRAB,0.46795,+42.06960,ASASSN-V J000152.30+420410.9
17180523939,4521,4110,5056,14.690,Gaia DR3 387280091595430272,14.238,0.010,+0.599,+0.806,+0.356,0.363,0.178,0.363,+0.857,0.040,+0.679,0.040,13.039,0.026,12.655,0.033,-0.345,-0.138,-0.588,0.108,0.108,0.108,0.046,0.046,0.046,RRAB,RRL_ab,NA,RRAB,0.46926,+47.55324,1SWASP J000152.61+473311.6
609886400872,5939,5390,6578,14.117,Gaia DR3 2307803889418658048,14.166,0.014,+0.273,+0.484,+0.052,0.024,0.012,0.024,+0.623,0.047,+0.611,0.047,13.040,0.028,12.924,0.032,-0.836,-0.625,-1.057,0.007,0.007,0.007,0.003,0.003,0.003,RRAB,RRL_ab,NA,RRAB,0.49067,-36.67853,CY Scl
515396862392,4926,4267,5723,15.145,Gaia DR3 2766950908567625728,14.778,0.009,+1.050,+1.361,+0.724,0.266,0.130,0.266,+0.774,0.033,+0.644,0.033,13.665,0.025,13.334,0.032,+0.123,+0.434,-0.203,0.080,0.080,0.080,0.034,0.034,0.034,RRAB,RRL_ab,NA,RRAB,0.49167,+12.71114,Loneos-RR 770
120259361503,788,781,797,14.149,Gaia DR3 429935439048464512,13.773,0.003,+3.470,+3.494,+3.442,0.820,0.399,0.824,+0.917,0.005,+0.516,0.006,12.618,0.026,12.262,0.024,+2.890,+2.911,+2.865,0.245,0.244,0.246,0.105,0.104,0.105,CONSTANT,NonVar,constant,RRAB,0.56444,+62.15241,PS1-3PI J000215.46+620908.6
661428929823,6455,5627,7471,13.365,Gaia DR3 396289043203871232,15.096,0.008,+0.587,+0.885,+0.269,0.460,0.225,0.460,+0.927,0.036,+0.702,0.036,13.790,0.030,13.286,0.031,-0.396,-0.098,-0.714,0.137,0.137,0.137,0.059,0.059,0.059,RRAB,RRL_ab,NA,RRAB,0.61311,+53.86575,PS1-3PI J000227.15+535156.7
489626456195,788,773,806,10.729,Gaia DR3 2336550174250087936,10.310,0.014,+0.827,+0.869,+0.778,0.000,0.000,0.000,+0.662,0.049,+0.662,0.049,9.629,0.024,9.309,0.019,+0.146,+0.188,+0.097,0.000,0.000,0.000,0.000,0.000,0.000,RRAB,RRL_ab,NA,RRAB/BL,0.70046,-24.94531,RU Scl
343598279853,3578,3420,3758,13.989,Gaia DR3 4702887900907901184,13.686,0.013,+0.841,+0.939,+0.734,0.077,0.038,0.077,+0.585,0.057,+0.547,0.057,12.710,0.024,12.508,0.028,-0.081,+0.017,-0.188,0.023,0.023,0.023,0.010,0.010,0.010,RRAB,RRL_ab,NA,RRAB,0.75396,-70.69097,NSV 5
326417638498,3738,3499,4014,13.965,Gaia DR3 2421763184396478208,13.874,0.008,+1.011,+1.154,+0.856,0.000,0.000,0.000,+0.453,0.031,+0.453,0.031,13.237,0.022,13.011,0.032,+0.374,+0.517,+0.219,0.000,0.000,0.000,0.000,0.000,0.000,RRC,RRL_c,NA,RRAB:,0.81767,-11.41797,ASAS J000316-1125.1
377957253675,3278,3022,3545,13.890,Gaia DR3 2740035546817737472,13.568,0.011,+0.869,+1.046,+0.699,0.121,0.059,0.121,+0.620,0.045,+0.561,0.045,12.910,0.023,12.541,0.026,+0.296,+0.473,+0.126,0.036,0.036,0.036,0.015,0.015,0.015,RRAB,RRL_ab,NA,RRAB,0.83837,+3.39788,Loneos-RR 738
34360666364,5012,4497,5546,14.307,Gaia DR3 2880246201601060224,13.979,0.012,+0.164,+0.399,-0.056,0.315,0.154,0.315,+0.749,0.047,+0.595,0.047,12.878,0.025,12.511,0.023,-0.716,-0.481,-0.936,0.094,0.094,0.094,0.040,0.040,0.040,RRAB,RRL_ab,NA,RRAB,0.95595,+37.07109,CSS_J000349.4+370415
154619831684,788,780,796,14.048,Gaia DR3 4685155217893405824,13.727,0.003,+4.139,+4.162,+4.117,0.105,0.051,0.105,+0.745,0.005,+0.694,0.005,12.763,0.035,12.440,0.039,+3.249,+3.272,+3.227,0.031,0.031,0.031,0.013,0.013,0.013,CONSTANT,EB_ED,constant,RR:,0.97629,-75.83206,NSV 8
661427710637,5146,4253,6513,14.896,Gaia DR3 4995660290873478784,14.598,0.012,+1.014,+1.428,+0.502,0.027,0.013,0.027,+0.533,0.048,+0.520,0.048,13.922,0.030,13.626,0.047,+0.357,+0.771,-0.155,0.008,0.008,0.008,0.004,0.004,0.004,RRAB,RRL_ab,NA,RRAB,1.00367,-42.73247,DK Phe
128849909789,7145,6004,8895,15.533,Gaia DR3 2881142097419152384,15.280,0.008,+0.695,+1.073,+0.219,0.315,0.154,0.315,+0.781,0.035,+0.627,0.035,14.313,0.022,13.924,0.043,-0.051,+0.327,-0.527,0.094,0.094,0.094,0.040,0.040,0.040,RRAB,RRL_ab,NA,RRAB,1.00829,+39.77311,CSS_J000401.9+394623
386548171330,1874,1796,1941,12.261,Gaia DR3 2414817603803476864,11.991,0.010,+0.627,+0.719,+0.551,0.000,0.000,0.000,+0.622,0.042,+0.622,0.042,11.123,0.025,10.782,0.025,-0.241,-0.149,-0.317,0.000,0.000,0.000,0.000,0.000,0.000,RRAB,RRL_ab,NA,RRAB/BL:,1.02137,-16.99764,UU Cet
