ASASSN_id,distance,distance_low,distance_high,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name
223338761939,2670,2441,2920,14.244,0.030,13.874,0.038,+2.053,+2.248,+1.859,0.058,0.058,0.058,0.025,0.025,0.025,RRL_c,NA,RRC,1.49666,+40.56100,PS1-3PI J000559.19+403339.5
455266711106,4033,3796,4312,12.540,0.025,12.203,0.025,-0.499,-0.368,-0.644,0.011,0.011,0.011,0.005,0.005,0.005,RRL_ab,NA,RRAB,1.50817,-36.90420,WW Scl
17180985901,5078,4621,5800,13.873,0.032,13.322,0.037,+0.128,+0.332,-0.161,0.217,0.217,0.217,0.093,0.093,0.093,RRL_ab,NA,RRAB,1.51959,+75.82718,ASASSN-V J000604.70+754937.9
223338908954,5572,4796,6513,14.033,0.032,13.951,0.052,+0.216,+0.542,-0.123,0.087,0.087,0.087,0.037,0.037,0.037,RRL_c,NA,RRC,1.52213,+10.36534,ASASSN-V J000605.31+102155.2
214748587822,4831,4432,5331,13.324,0.026,12.993,0.030,-0.118,+0.069,-0.332,0.022,0.022,0.022,0.009,0.009,0.009,CEPH_Other,I'd,RRAB,1.56061,+19.69367,CSS_J000614.5+194136
352187710537,3868,3581,4157,12.980,0.029,12.761,0.028,-0.008,+0.159,-0.165,0.051,0.051,0.051,0.022,0.022,0.022,RRL_c,NA,RRC,1.57447,+6.29801,ASASSN-V J000617.87+061752.8
532576226664,3509,3269,3793,12.617,0.024,12.467,0.026,-0.120,+0.034,-0.289,0.011,0.011,0.011,0.005,0.005,0.005,RRL_ab,NA,RRAB,1.58679,-35.28686,CD Scl
360778106749,6424,5260,7709,14.060,0.025,13.726,0.051,+0.021,+0.455,-0.375,0.000,0.000,0.000,0.000,0.000,0.000,RRL_ab,NA,RRAB,1.60168,+17.07860,CSS_J000624.4+170443
369368066505,5894,5085,6793,13.625,0.026,13.283,0.036,-0.350,-0.029,-0.658,0.123,0.123,0.123,0.053,0.053,0.053,RRL_ab,NA,RRAB,1.72061,+11.68723,Loneos-RR 203
983428,5948,5384,6666,13.962,0.033,13.516,0.043,-0.037,+0.179,-0.284,0.127,0.127,0.127,0.054,0.054,0.054,RRL_ab,NA,RRAB,1.74449,-83.53154,ASASSN-V J000658.51-833153.5
386547093730,5657,5080,6257,13.628,0.027,13.523,0.038,-0.135,+0.099,-0.354,0.000,0.000,0.000,0.000,0.000,0.000,RRL_ab,NA,RRAB,1.74465,-29.60695,SX Scl
352187921238,4676,4113,5204,13.708,0.029,13.392,0.034,+0.359,+0.637,+0.126,0.000,0.000,0.000,0.000,0.000,0.000,RRL_ab,NA,RRAB,1.76108,-13.30372,NSVS 14655511
77309803886,6275,5618,7504,13.771,0.025,13.330,0.026,-0.282,-0.042,-0.670,0.065,0.065,0.065,0.028,0.028,0.028,RRL_ab,NA,RRAB,1.82375,+38.96075,CSS_J000717.7+385738
17180436359,2192,2126,2257,12.607,0.025,12.203,0.028,+0.624,+0.694,+0.555,0.279,0.275,0.284,0.120,0.118,0.122,RRL_c,NA,RRC,1.87474,+63.38366,ASASSN-V J000729.94+632301.2
532577078448,7630,6452,8599,13.627,0.026,13.284,0.035,-0.829,-0.464,-1.088,0.043,0.043,0.043,0.019,0.019,0.019,RRL_ab,NA,RRAB,2.06400,-20.99796,1SWASP J000815.36-205952.5
188979026520,6709,5983,7623,13.421,0.028,13.273,0.040,-0.755,-0.507,-1.033,0.043,0.043,0.043,0.019,0.019,0.019,RRL_ab,NA,RRAB,2.09948,+26.55647,NSVS 6290805
17180763702,3189,2841,3522,13.738,0.025,13.271,0.036,+0.995,+1.254,+0.773,0.225,0.217,0.231,0.097,0.093,0.099,RRL_c,NA,RR,2.09967,+55.47013,WISE J000823.9+552812
661428931359,4661,4115,5159,13.744,0.032,13.392,0.047,+0.257,+0.527,+0.036,0.145,0.145,0.145,0.062,0.062,0.062,NonVar,RRab,RRAB,2.29306,+54.57882,PS1-3PI J000910.33+543443.7
60130123655,6199,5244,7344,14.305,0.029,14.043,0.044,+0.300,+0.664,-0.068,0.043,0.043,0.043,0.019,0.019,0.019,RRL_ab,NA,RRAB,2.31654,+40.87607,ASASSN-V J000915.97+405233.9
60129786677,1565,1412,1728,13.792,0.029,13.486,0.038,+2.631,+2.862,+2.416,0.188,0.181,0.188,0.081,0.077,0.081,NonVar,EB,RRC,2.33100,+54.81880,PS1-3PI J000919.44+544907.6
