ASASSN_id,distance,distance_low,distance_high,g_mag,Gaia_name,G_mag,G_mag_err,abs_mag_G,abs_mag_G_low,abs_mag_G_high,ext_correct_G,ext_correct_G_low,ext_correct_G_high,BP_RP,BP_RP_err,BP_RP_0,BP_RP_0_err,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,FinalType,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name,J-K,J-K_err,sigma_distance,sigma_dist_term,E(B-V),A_J,E(J-K),abs_mag_J_err,above_line
438087626619,1002,992,1015,11.667,Gaia DR3 4751149005303841920,11.241,0.003,1.191,1.212,1.163,0.046,0.023,0.046,1.151,0.005,1.128,0.005,9.75,0.025,9.136,0.023,-0.26833860765613404,-0.247,-0.296,0.014,0.014,0.014,0.006,0.006,0.006,EW,EB_EC,EW,RRC,47.32858,-46.06387,ASASSN-V J030918.86-460349.9,0.6140000000000008,0.03397057550292606,11.5,0.02492208853237223,0.015384615384615384,0.014,0.008,0.035328041225284476,True
17180598704,2616,2511,2716,14.715,Gaia DR3 554337551857572608,14.189,0.006,1.374,1.463,1.292,0.727,0.355,0.727,1.003,0.021,0.648,0.021,12.854,0.022,12.491,0.026,0.5488113017388502,0.638,0.467,0.217,0.217,0.217,0.093,0.093,0.093,EB,EB_EC,EB,RR,52.4361,77.06669,NSVS 433738,0.36299999999999955,0.0340587727318528,102.5,0.08508253898142834,0.23846153846153845,0.217,0.124,0.09052032058894993,True
137439491948,2371,2252,2500,15.154,Gaia DR3 469899834856772864,14.405,0.004,1.319,1.431,1.204,1.211,0.592,1.211,1.286,0.017,0.694,0.017,12.809,0.027,12.296,0.026,0.573342230109058,0.685,0.458,0.361,0.361,0.361,0.155,0.155,0.155,EW,CEPH_1O,EW,RRAB,58.8075,57.80812,WISE J035513.8+574829,0.5129999999999999,0.03748332962798263,124.0,0.11356498472375204,0.3967032967032967,0.361,0.2062857142857143,0.12218516994834536,True
42949716089,1069,1035,1098,11.487,Gaia DR3 231548116499738752,11.231,0.004,0.307,0.381,0.238,0.779,0.379,0.79,0.702,0.013,0.321,0.015,10.241,0.019,10.008,0.022,-0.13688852604388957,-0.065,-0.198,0.233,0.231,0.236,0.1,0.099,0.101,EW,EB_EC,EW,RRAB,60.2092,43.35454,WISE J040050.2+432116,0.23300000000000054,0.029068883707497266,31.5,0.06398632450866432,0.256043956043956,0.23299999999999998,0.13314285714285715,0.07069752275807191,True
34360185365,554,495,637,11.33,Gaia DR3 553753367587040000,10.953,0.003,1.944,2.189,1.641,0.291,0.142,0.291,1.056,0.007,0.914,0.007,9.342,0.02,8.834,0.015,0.5374511763578516,0.782,0.234,0.087,0.087,0.087,0.037,0.037,0.037,EW,NonVar,EW,RRC,78.35631,79.7909,ASASSN-V J051325.51+794727.2,0.5080000000000009,0.025,71.0,0.2782933954434194,0.0956043956043956,0.087,0.04971428571428571,0.2791467426774445,True
300647737742,773,764,784,11.189,Gaia DR3 2989109706861319552,10.929,0.003,1.27,1.296,1.239,0.218,0.107,0.218,0.539,0.01,0.432,0.01,10.187,0.023,9.967,0.021,0.6811025304083738,0.707,0.65,0.065,0.065,0.065,0.028,0.028,0.028,DSCT,EB_ED,DSCT,RRC,79.31067,-11.69956,ASAS J051714-1142.0,0.21999999999999886,0.03114482300479487,10.0,0.028091493007972302,0.07142857142857142,0.065,0.037142857142857144,0.03688335640118665,True
128850206071,1515,1448,1579,13.823,Gaia DR3 281413580155551872,13.453,0.005,1.679,1.777,1.589,0.872,0.426,0.872,1.076,0.018,0.65,0.018,12.155,0.023,11.785,0.02,0.992936835808379,1.091,0.903,0.26,0.26,0.26,0.112,0.112,0.112,EW,RRL_c,EW,RRC,79.75288,59.54417,WISE J051900.6+593239,0.3699999999999992,0.03047950130825634,65.5,0.09388214047743561,0.2857142857142857,0.26,0.14857142857142858,0.10009423709996972,True
257698118001,574,552,598,10.581,Gaia DR3 3223607740037728768,10.366,0.003,1.305,1.39,1.216,0.266,0.13,0.266,0.53,0.007,0.4,0.007,9.689,0.024,9.462,0.021,0.8144405380101319,0.899,0.725,0.08,0.08,0.08,0.034,0.034,0.034,EW,NonVar,EW,ESD|RRC|EC,83.87517,2.13067,ASAS J053530+0207.9,0.2270000000000003,0.03189043743820395,23.0,0.0870102184997804,0.0879120879120879,0.08,0.045714285714285714,0.09061334406906925,True
274878318418,1079,1057,1104,12.14,Gaia DR3 4621446731041781504,11.943,0.005,1.408,1.453,1.358,0.37,0.181,0.37,0.633,0.021,0.452,0.021,11.173,0.024,10.921,0.023,0.8978927765854466,0.943,0.848,0.11,0.11,0.11,0.047,0.047,0.047,EW,RRL_c,EW,RRC|EC,88.21462,-81.22378,ASAS J055251-8113.4,0.25200000000000067,0.03324154027718933,23.5,0.0472934213379352,0.12087912087912088,0.11,0.06285714285714286,0.05416334278686522,True
506806566164,1879,1823,1932,12.86,Gaia DR3 2917025277872299648,11.873,0.003,0.382,0.448,0.322,0.121,0.059,0.121,1.459,0.011,1.4,0.011,10.004,0.024,9.21,0.021,-1.401633900502628,-1.336,-1.462,0.036,0.036,0.036,0.015,0.015,0.015,EB,EB_EC,EB,DCEP-FO|RRAB|EC|ESD,90.40925,-21.88478,ASAS J060138-2153.1,0.7939999999999987,0.03189043743820395,54.5,0.06298310075499526,0.03956043956043956,0.036,0.02057142857142857,0.06749689608207095,True
472446951912,1661,1628,1700,12.674,Gaia DR3 3017979995988968448,12.241,0.004,0.267,0.311,0.217,0.872,0.426,0.872,0.932,0.011,0.506,0.011,11.094,0.024,10.705,0.021,-0.26784816225697505,-0.224,-0.318,0.26,0.26,0.26,0.112,0.112,0.112,EB,EB_ESD,EB,ESD|RRAB|DCEP-FO|EC|ED,91.33204,-8.23692,ASAS J060520-0814.2,0.38899999999999935,0.03189043743820395,36.0,0.04706382103707725,0.2857142857142857,0.26,0.14857142857142858,0.05888126400316178,True
661427865301,646,639,653,10.566,Gaia DR3 2889675785120709376,10.292,0.004,1.112,1.136,1.088,0.129,0.063,0.129,0.533,0.012,0.47,0.012,9.678,0.021,9.488,0.021,0.5888374100245797,0.612,0.564,0.038,0.038,0.039,0.016,0.016,0.017,EW,NonVar,EW,EC|RRC|ESD,91.58463,-33.6005,ASAS J060620-3336.0,0.19000000000000128,0.029698484809835,7.0,0.023529886790423858,0.041758241758241756,0.038,0.021714285714285714,0.031766264690236454,True
489626963078,592,583,602,10.144,Gaia DR3 2884991178391672704,9.615,0.003,0.569,0.604,0.531,0.184,0.089,0.186,0.005,0.007,-0.085,0.007,9.554,0.022,9.568,0.019,0.6373914663854002,0.671,0.601,0.055,0.055,0.055,0.024,0.023,0.024,EW,NonVar,EW,ESD|RRC|EC,92.91546,-36.83794,ASAS J061140-3650.2,-0.013999999999999346,0.029068883707497266,9.5,0.034846263328385904,0.06043956043956044,0.055,0.03142857142857143,0.04157537814561898,True
