ASASSN_id,distance,distance_low,distance_high,g_mag,Gaia_name,G_mag,G_mag_err,abs_mag_G,abs_mag_G_low,abs_mag_G_high,ext_correct_G,ext_correct_G_low,ext_correct_G_high,BP_RP,BP_RP_err,BP_RP_0,BP_RP_0_err,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,FinalType,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name,J-K,J-K_err,sigma_distance,sigma_dist_term,E(B-V),A_J,E(J-K),abs_mag_J_err
42949677128,1743,1689,1795,12.53,Gaia DR3 385196895017894912,12.492,0.003,1.116,1.184,1.052,0.17,0.083,0.17,0.442,0.01,0.359,0.01,11.869,0.023,11.718,0.018,0.6115130644500316,0.68,0.548,0.051,0.051,0.051,0.022,0.022,0.022,EB,EB_ESD,EB,RRC,4.51567,43.28278,CSS_J001803.7+431658,0.1509999999999998,0.029206163733020464,53.0,0.06602870780514154,0.05604395604395604,0.051,0.02914285714285714,0.07010563639549076
25770299404,1258,1144,1392,13.277,Gaia DR3 563000947571777024,12.709,0.006,1.242,1.448,1.022,0.969,0.473,0.969,1.159,0.022,0.686,0.022,11.2,0.03,10.774,0.02,0.41259679445374936,0.619,0.193,0.289,0.289,0.289,0.124,0.124,0.124,EW,EB_EC,EW,RR,18.24273,76.13571,NSVS 269243,0.42600000000000016,0.03605551275463989,124.0,0.21404020570748497,0.31758241758241756,0.289,0.16514285714285715,0.2180560011999268
300648159536,249,234,267,9.199,Gaia DR3 2455527640297608320,8.18,0.003,1.199,1.334,1.047,0.0,0.0,0.0,0.695,0.008,0.695,0.008,7.39,0.02,7.108,0.021,0.40900326452131797,0.544,0.257,0.0,0.0,0.0,0.0,0.0,0.0,EW,NonVar,EW,RR:,20.87596,-13.92425,CW Cet,0.28200000000000003,0.029,16.5,0.14389275002818583,0.0,0.0,0.0,0.14527602524392652
120259254551,4774,4387,5168,15.745,Gaia DR3 534185015551097344,15.201,0.006,0.499,0.682,0.326,1.308,0.639,1.308,1.241,0.021,0.602,0.021,13.493,0.027,13.121,0.034,-0.29141207335367747,-0.108,-0.464,0.39,0.39,0.39,0.167,0.167,0.167,EB,EB_EC,EB,RRAB,22.82827,71.72525,WISE J013118.7+714330,0.3719999999999999,0.043416586692184816,390.5,0.17762043902725158,0.42857142857142855,0.39,0.22285714285714286,0.18384509882026662
60130793282,3729,3348,4146,14.391,Gaia DR3 339603102751946240,14.213,0.011,1.234,1.468,1.004,0.121,0.059,0.121,0.626,0.052,0.567,0.052,13.667,0.027,13.369,0.034,0.7730380831934656,1.007,0.543,0.036,0.036,0.036,0.015,0.015,0.015,EW,EB_EC,EW,RRAB,37.17667,42.82481,WISE J022842.4+424929,0.29800000000000004,0.043416586692184816,399.0,0.23234580085733098,0.03956043956043956,0.036,0.02057142857142857,0.2339370239531026
206158828541,2393,2303,2472,13.292,Gaia DR3 340460034626333440,13.087,0.005,1.047,1.131,0.977,0.145,0.071,0.145,0.606,0.018,0.535,0.018,12.349,0.027,12.086,0.018,0.4112865069328137,0.495,0.341,0.043,0.043,0.043,0.019,0.019,0.019,EW,EB_EC,EW,RRAB,39.35747,43.88899,WISE J023725.7+435320,0.2629999999999999,0.0324499614791759,84.5,0.07667756732307725,0.047252747252747244,0.043,0.024571428571428567,0.08140601532187314
17180453841,5022,4568,5585,15.2,Gaia DR3 514163561651428736,14.812,0.003,-0.363,-0.134,-0.594,1.671,0.805,1.671,0.93,0.008,0.113,0.014,13.542,0.026,13.28,0.037,-0.4613835418845185,-0.249,-0.692,0.499,0.492,0.499,0.214,0.211,0.214,EW,EB_ESD,EW,RRC,39.46396,63.42415,ASASSN-V J023751.35+632526.9,0.26200000000000045,0.04522167621838005,508.5,0.21987131028256024,0.5483516483516483,0.49899999999999994,0.28514285714285714,0.2269568308850163
188979597804,329,315,349,9.302,Gaia DR3 87887576476364160,8.552,0.004,0.675,0.769,0.547,0.291,0.142,0.291,0.443,0.011,0.301,0.011,7.889,0.02,7.707,0.031,0.21602051025012756,0.31,0.088,0.087,0.087,0.087,0.037,0.037,0.037,EW,NonVar,EW,RRC|EC|ESD,39.58592,20.25939,ASAS J023821+2015.5,0.18200000000000038,0.036891733491393436,17.0,0.11220374152515623,0.0956043956043956,0.087,0.04971428571428571,0.11430384775782515
17180598704,2616,2511,2716,14.715,Gaia DR3 554337551857572608,14.189,0.006,1.374,1.463,1.292,0.727,0.355,0.727,1.003,0.021,0.648,0.021,12.854,0.022,12.491,0.026,0.5488113017388502,0.638,0.467,0.217,0.217,0.217,0.093,0.093,0.093,EB,EB_EC,EB,RR,52.4361,77.06669,NSVS 433738,0.36299999999999955,0.0340587727318528,102.5,0.08508253898142834,0.23846153846153845,0.217,0.124,0.09052032058894993
335008534425,885,860,912,12.467,Gaia DR3 41543328868600064,12.089,0.005,1.7,1.763,1.635,0.654,0.32,0.654,0.922,0.02,0.602,0.02,10.775,0.022,10.427,0.017,0.845283646510872,0.908,0.78,0.195,0.195,0.195,0.084,0.084,0.084,EW,EB_EC,EW,EC|RRC|ESD,54.62075,14.88386,ASAS J033829+1453.1,0.34800000000000075,0.027802877548915687,26.0,0.06379466965810478,0.21428571428571427,0.195,0.11142857142857143,0.07024250762029154
137439491948,2371,2252,2500,15.154,Gaia DR3 469899834856772864,14.405,0.004,1.319,1.431,1.204,1.211,0.592,1.211,1.286,0.017,0.694,0.017,12.809,0.027,12.296,0.026,0.573342230109058,0.685,0.458,0.361,0.361,0.361,0.155,0.155,0.155,EW,CEPH_1O,EW,RRAB,58.8075,57.80812,WISE J035513.8+574829,0.5129999999999999,0.03748332962798263,124.0,0.11356498472375204,0.3967032967032967,0.361,0.2062857142857143,0.12218516994834536
42949716089,1069,1035,1098,11.487,Gaia DR3 231548116499738752,11.231,0.004,0.307,0.381,0.238,0.779,0.379,0.79,0.702,0.013,0.321,0.015,10.241,0.019,10.008,0.022,-0.13688852604388957,-0.065,-0.198,0.233,0.231,0.236,0.1,0.099,0.101,EW,EB_EC,EW,RRAB,60.2092,43.35454,WISE J040050.2+432116,0.23300000000000054,0.029068883707497266,31.5,0.06398632450866432,0.256043956043956,0.23299999999999998,0.13314285714285715,0.07069752275807191
34360185365,554,495,637,11.33,Gaia DR3 553753367587040000,10.953,0.003,1.944,2.189,1.641,0.291,0.142,0.291,1.056,0.007,0.914,0.007,9.342,0.02,8.834,0.015,0.5374511763578516,0.782,0.234,0.087,0.087,0.087,0.037,0.037,0.037,EW,NonVar,EW,RRC,78.35631,79.7909,ASASSN-V J051325.51+794727.2,0.5080000000000009,0.025,71.0,0.2782933954434194,0.0956043956043956,0.087,0.04971428571428571,0.2791467426774445
300647737742,773,764,784,11.189,Gaia DR3 2989109706861319552,10.929,0.003,1.27,1.296,1.239,0.218,0.107,0.218,0.539,0.01,0.432,0.01,10.187,0.023,9.967,0.021,0.6811025304083738,0.707,0.65,0.065,0.065,0.065,0.028,0.028,0.028,DSCT,EB_ED,DSCT,RRC,79.31067,-11.69956,ASAS J051714-1142.0,0.21999999999999886,0.03114482300479487,10.0,0.028091493007972302,0.07142857142857142,0.065,0.037142857142857144,0.03688335640118665
257698118001,574,552,598,10.581,Gaia DR3 3223607740037728768,10.366,0.003,1.305,1.39,1.216,0.266,0.13,0.266,0.53,0.007,0.4,0.007,9.689,0.024,9.462,0.021,0.8144405380101319,0.899,0.725,0.08,0.08,0.08,0.034,0.034,0.034,EW,NonVar,EW,ESD|RRC|EC,83.87517,2.13067,ASAS J053530+0207.9,0.2270000000000003,0.03189043743820395,23.0,0.0870102184997804,0.0879120879120879,0.08,0.045714285714285714,0.09061334406906925
472446951912,1661,1628,1700,12.674,Gaia DR3 3017979995988968448,12.241,0.004,0.267,0.311,0.217,0.872,0.426,0.872,0.932,0.011,0.506,0.011,11.094,0.024,10.705,0.021,-0.26784816225697505,-0.224,-0.318,0.26,0.26,0.26,0.112,0.112,0.112,EB,EB_ESD,EB,ESD|RRAB|DCEP-FO|EC|ED,91.33204,-8.23692,ASAS J060520-0814.2,0.38899999999999935,0.03189043743820395,36.0,0.04706382103707725,0.2857142857142857,0.26,0.14857142857142858,0.05888126400316178
661427865301,646,639,653,10.566,Gaia DR3 2889675785120709376,10.292,0.004,1.112,1.136,1.088,0.129,0.063,0.129,0.533,0.012,0.47,0.012,9.678,0.021,9.488,0.021,0.5888374100245797,0.612,0.564,0.038,0.038,0.039,0.016,0.016,0.017,EW,NonVar,EW,EC|RRC|ESD,91.58463,-33.6005,ASAS J060620-3336.0,0.19000000000000128,0.029698484809835,7.0,0.023529886790423858,0.041758241758241756,0.038,0.021714285714285714,0.031766264690236454
292057812787,4679,4244,5371,13.98,Gaia DR3 3329234141332024192,13.891,0.01,-0.744,-0.51,-1.043,1.284,0.617,1.284,0.66,0.033,0.033,0.034,12.853,0.03,12.636,0.03,-0.8807652259609027,-0.663,-1.18,0.383,0.377,0.383,0.164,0.162,0.164,EW,EB_ESD,EW,RRAB,93.70682,10.12812,WISE J061449.6+100741,0.21700000000000053,0.042426406871192854,563.5,0.26151414891267616,0.4208791208791209,0.383,0.21885714285714286,0.26600101518889235
386548197620,1268,1230,1301,11.66,Gaia DR3 2937100951440192256,11.488,0.003,0.851,0.917,0.796,0.121,0.059,0.121,0.56,0.006,0.501,0.006,10.706,0.023,10.523,0.023,0.15440373227143092,0.22,0.099,0.036,0.036,0.036,0.015,0.015,0.015,DSCT,DSCT,DSCT,ESD|RRC|DSCT|EC|ED,98.14996,-21.98894,ASAS J063236-2159.3,0.18299999999999983,0.03252691193458118,35.5,0.060794377395762766,0.03956043956043956,0.036,0.02057142857142857,0.06509928051014413
25770379538,586,579,595,11.575,Gaia DR3 966907506105789056,11.017,0.003,1.912,1.938,1.878,0.266,0.13,0.266,1.006,0.01,0.876,0.01,9.654,0.028,9.128,0.018,0.7345119199095455,0.761,0.701,0.08,0.08,0.08,0.034,0.034,0.034,EW,NonVar,EW,RRC,100.82306,47.93701,ASASSN-V J064317.54+475613.3,0.5259999999999998,0.033286633954186476,8.0,0.02964467453264517,0.0879120879120879,0.08,0.045714285714285714,0.04155486407325214
644245665318,1249,1221,1271,12.071,Gaia DR3 5282095473777638656,11.88,0.003,1.17,1.219,1.131,0.227,0.111,0.228,0.568,0.008,0.457,0.008,11.118,0.022,10.902,0.025,0.5671878081293218,0.616,0.529,0.068,0.068,0.068,0.029,0.029,0.029,EW,CEPH_1O,EW,EC|RRC|ESD,103.95692,-65.81703,ASAS J065550-6549.0,0.21600000000000108,0.03330165161069343,25.0,0.04346421956597796,0.07472527472527472,0.068,0.03885714285714286,0.049187177012708715
249108106816,547,508,607,10.338,Gaia DR3 3380892466074502656,10.172,0.004,1.458,1.619,1.208,0.024,0.012,0.048,0.434,0.014,0.422,0.018,9.507,0.021,9.318,0.017,0.8100633683328443,0.971,0.577,0.007,0.007,0.014,0.003,0.003,0.006,EW,NonVar,EW,EC|RRC|ESD,104.22992,24.75033,ASAS J065655+2445.0,0.18900000000000006,0.027018512172212593,49.5,0.19650435881362852,0.007692307692307692,0.007,0.004,0.1976245253827451
