ASASSN_id,distance,distance_low,distance_high,g_mag,Gaia_name,G_mag,G_mag_err,abs_mag_G,abs_mag_G_low,abs_mag_G_high,ext_correct_G,ext_correct_G_low,ext_correct_G_high,BP_RP,BP_RP_err,BP_RP_0,BP_RP_0_err,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,FinalType,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name,J-K,J-K_err,sigma_distance,sigma_dist_term,E(B-V),A_J,E(J-K),abs_mag_J_err,above_line
120260247366,634,625,640,14.093,Gaia DR3 384958644592311040,13.99,0.003,4.762,4.793,4.741,0.218,0.107,0.218,0.944,0.007,0.837,0.007,12.625,0.026,12.267,0.028,3.549553710591336,3.581,3.529,0.065,0.065,0.065,0.028,0.028,0.028,RRAB,RRL_ab,RRAB,RRAB,1.11417,44.06372,CSS_J000427.4+440349,0.35800000000000054,0.0382099463490856,7.5,0.025687765096801166,0.07142857142857142,0.065,0.037142857142857144,0.03712292116292085,False
549756977370,745,733,757,11.637,Gaia DR3 2335666854095904896,11.383,0.003,2.022,2.057,1.988,0.0,0.0,0.0,0.523,0.008,0.523,0.008,10.66,0.022,10.414,0.019,1.2992186362585372,1.334,1.265,0.0,0.0,0.0,0.0,0.0,0.0,RRC,EB_ED,RRC,RRC,2.61108,-24.967,ASASSN-V J001026.66-245801.2,0.24600000000000044,0.029068883707497266,12.0,0.034976736797577325,0.0,0.0,0.0,0.04132035959435735,False
214748600537,335,334,338,9.829,Gaia DR3 2798428345921128832,9.775,0.003,2.102,2.108,2.082,0.048,0.024,0.048,0.393,0.01,0.369,0.01,9.09,0.026,8.851,0.019,1.4507759648157734,1.457,1.431,0.014,0.014,0.014,0.006,0.006,0.006,RRC,EB_ED,RRC,RRC|EC,2.87817,19.66019,ASAS J001131+1939.6,0.238999999999999,0.032202484376209234,2.0,0.012964014385171694,0.015384615384615384,0.014,0.008,0.029086520399988353,False
128849749198,1192,1162,1225,13.985,Gaia DR3 429556176242757120,17.35,0.007,6.144,6.2,6.073,0.825,0.402,0.836,0.0,9.999,-0.403,9.999,12.506,0.022,12.078,0.023,1.8786187229789122,1.934,1.815,0.246,0.246,0.25,0.106,0.105,0.107,RRC,DSCT,RRC,RRC,3.50109,60.89321,ASASSN-V J001400.26+605335.6,0.4280000000000008,0.0318276609256791,31.5,0.057383708808525294,0.2703296703296703,0.246,0.14057142857142857,0.06619705459173862,False
171799218028,2537,2405,2647,14.547,Gaia DR3 2800636852464997248,14.336,0.004,2.217,2.333,2.125,0.097,0.047,0.097,0.593,0.014,0.546,0.014,13.458,0.025,13.269,0.042,1.4073976638913468,1.523,1.315,0.029,0.029,0.029,0.012,0.012,0.012,RRC,RRL_e,RRC,RRC,3.77104,22.80014,CSS_J001505.0+224800,0.18900000000000006,0.04887739763939975,121.0,0.10356648070613611,0.031868131868131866,0.028999999999999998,0.01657142857142857,0.10658060764442312,False
377957596435,1026,1012,1042,12.501,Gaia DR3 2793913712522910592,12.403,0.005,2.299,2.329,2.266,0.048,0.024,0.048,0.44,0.02,0.416,0.02,11.821,0.023,11.632,0.02,1.751263196121012,1.781,1.718,0.014,0.014,0.014,0.006,0.006,0.006,RRC,RRL_e,RRC,EC|RRC|ESD,4.24038,18.02917,ASAS J001658+1801.7,0.18900000000000006,0.03047950130825634,15.0,0.03174667265374647,0.015384615384615384,0.014,0.008,0.039227684415271497,False
661428933394,410,408,412,10.434,Gaia DR3 419941050145719680,10.311,0.004,1.932,1.943,1.922,0.315,0.154,0.315,0.716,0.011,0.562,0.011,9.092,0.02,8.821,0.013,0.9340807164013233,0.945,0.924,0.094,0.094,0.094,0.04,0.04,0.04,RRC,NonVar,RRC,RRC,4.5945,55.53056,WISE J001822.6+553150,0.2710000000000008,0.023853720883753128,2.0,0.010592548339103702,0.10329670329670329,0.094,0.053714285714285714,0.02450636815842463,False
558346822146,290,289,292,11.404,Gaia DR3 2323806593965969792,11.076,0.005,3.764,3.772,3.749,0.0,0.0,0.0,0.832,0.017,0.832,0.017,9.976,0.021,9.638,0.023,2.664010010505221,2.672,2.649,0.0,0.0,0.0,0.0,0.0,0.0,RRC,DSCT,RRC,EC|RRC|DSCT,5.08733,-25.32261,ASAS J002021-2519.3,0.33800000000000097,0.03114482300479487,1.5,0.011231753842325476,0.0,0.0,0.0,0.023814959466154736,False
188978664246,374,372,377,11.109,Gaia DR3 2855301718740396416,10.769,0.004,2.857,2.868,2.839,0.048,0.024,0.048,0.647,0.011,0.623,0.011,9.923,0.022,9.688,0.019,2.0446419889975984,2.056,2.027,0.014,0.014,0.014,0.006,0.006,0.006,RRC,NonVar,RRC,EC|RRC|DSCT|ESD,5.43708,24.91631,ASAS J002145+2455.0,0.23499999999999943,0.029068883707497266,2.5,0.014515189903183547,0.015384615384615384,0.014,0.008,0.02639414211383809,False
463857302252,739,726,751,11.579,Gaia DR3 2360391189816942976,11.511,0.003,2.168,2.206,2.133,0.0,0.0,0.0,0.331,0.009,0.331,0.009,11.0,0.026,10.821,0.019,1.656777808025872,1.695,1.622,0.0,0.0,0.0,0.0,0.0,0.0,RRC,EB_ED,RRC,ESD|RRC|EC,5.48396,-22.67392,ASAS J002156-2240.4,0.17900000000000027,0.032202484376209234,12.5,0.03672991220426689,0.0,0.0,0.0,0.04500096055122772,False
163209104297,612,601,620,11.251,Gaia DR3 4993649627703832576,11.087,0.004,2.129,2.169,2.101,0.024,0.012,0.024,0.531,0.015,0.519,0.015,10.355,0.022,10.131,0.026,1.4142428892721932,1.454,1.386,0.007,0.007,0.007,0.003,0.003,0.003,RRC,EB_EC,RRC,EC|RRC|ESD,5.84133,-42.44664,ASAS J002322-4226.8,0.2240000000000002,0.0340587727318528,9.5,0.03370749655294846,0.007692307692307692,0.007,0.004,0.04025773619898457,False
506806510809,4279,3791,4830,15.555,Gaia DR3 2754217975505488640,15.199,0.01,1.776,2.039,1.513,0.266,0.13,0.266,0.676,0.044,0.546,0.044,14.247,0.036,13.952,0.044,1.0102885675803375,1.273,0.747,0.08,0.08,0.08,0.034,0.034,0.034,RRAB,RRL_ab,RRAB,RRAB,6.3249,11.10841,CSS_J002518.0+110629,0.29499999999999993,0.05685068161420758,519.5,0.2636316701901604,0.0879120879120879,0.08,0.045714285714285714,0.26619853028755347,False
17180414569,1808,1769,1844,14.008,Gaia DR3 537794506067286272,13.693,0.003,1.608,1.655,1.565,0.799,0.391,0.799,0.792,0.01,0.401,0.01,12.569,0.024,12.32,0.024,1.044007869303278,1.091,1.001,0.239,0.239,0.239,0.102,0.102,0.102,RR(B),CEPH_1O,RR(B),RRC,7.61955,73.57531,ASASSN-V J003028.69+733431.1,0.24900000000000055,0.03394112549695428,37.5,0.04503883592746665,0.2626373626373626,0.23899999999999996,0.13657142857142857,0.056353409317460655,False
214748863178,4648,4181,5369,15.116,Gaia DR3 2555734931029159936,14.996,0.009,1.66,1.89,1.347,0.0,0.0,0.0,0.418,0.045,0.418,0.045,14.36,0.033,14.167,0.086,1.0236694030886255,1.254,0.711,0.0,0.0,0.0,0.0,0.0,0.0,RRC,RRL_c,RRC,RRC,8.30686,6.59668,CSS_J003313.6+063548,0.19299999999999962,0.09211405973031478,594.0,0.2775074464829298,0.0,0.0,0.0,0.27946266808551756,False
335007739328,995,972,1021,12.808,Gaia DR3 2362760572951444608,12.607,0.005,2.618,2.669,2.562,0.0,0.0,0.0,0.583,0.018,0.583,0.018,11.812,0.023,11.565,0.026,1.822884596271372,1.874,1.767,0.0,0.0,0.0,0.0,0.0,0.0,RRC,EB_EC,RRC,EC|RRC|ESD,10.03908,-20.04853,ASAS J004009-2002.9,0.2469999999999999,0.03471310991541956,24.5,0.05346841611371692,0.0,0.0,0.0,0.058205425191382144,False
34360900610,2496,2326,2736,14.545,Gaia DR3 387314313894544640,14.25,0.003,2.264,2.417,2.064,0.0,0.0,0.0,0.723,0.01,0.723,0.01,13.363,0.025,13.056,0.032,1.3767770949480678,1.53,1.177,0.0,0.0,0.0,0.0,0.0,0.0,RRC,RRL_e,RRC,RRC:,11.03475,41.95656,CSS_J004408.4+415722,0.3070000000000004,0.040607881008493905,205.0,0.17834609132645554,0.0,0.0,0.0,0.18008977842016582,False
661428834956,3930,3506,4311,15.203,Gaia DR3 362100210166305664,14.992,0.003,1.778,2.026,1.577,0.242,0.118,0.242,0.593,0.01,0.475,0.01,14.317,0.03,14.08,0.05,1.2730372481228676,1.521,1.072,0.072,0.072,0.072,0.031,0.031,0.031,RRC,RRL_e,RRC,RRC,11.09521,33.74022,CSS_J004422.8+334424,0.2370000000000001,0.05830951894845301,402.5,0.22239634728506213,0.07912087912087912,0.072,0.04114285714285714,0.2245261127034848,False
163209594196,1482,1442,1515,13.6,Gaia DR3 2802935308508451840,13.429,0.004,2.405,2.464,2.357,0.17,0.083,0.17,0.513,0.012,0.43,0.012,12.807,0.02,12.609,0.027,1.901758981783454,1.961,1.854,0.051,0.051,0.051,0.022,0.022,0.022,RRC,EB_EC,RRC,RRC,11.25717,22.26297,CSS_J004501.7+221546,0.1980000000000004,0.03360059523282288,36.5,0.053480933162849825,0.05604395604395604,0.051,0.02914285714285714,0.0573255633375653,False
17180390871,1299,1207,1401,14.23,Gaia DR3 538474450929753216,13.733,0.004,2.317,2.494,2.153,0.848,0.406,0.848,1.043,0.01,0.629,0.013,12.421,0.023,12.001,0.024,1.5999542446348602,1.764,1.436,0.253,0.248,0.253,0.108,0.106,0.108,RRC,RRL_c,RRC,RRC,11.74619,73.54611,ASASSN-V J004659.09+733246.0,0.41999999999999993,0.03324154027718933,97.0,0.16214997977142195,0.27802197802197803,0.253,0.14457142857142857,0.16571573835901207,False
223338878082,4301,3858,5014,15.326,Gaia DR3 2809055606840550784,15.087,0.012,1.725,1.961,1.392,0.194,0.095,0.194,0.692,0.047,0.597,0.047,14.041,0.027,13.746,0.042,0.815152787229543,1.051,0.482,0.058,0.058,0.058,0.025,0.025,0.025,RRAB,RRL_ab,,RRAB,12.18589,27.77869,NSVS 6392284,0.29499999999999993,0.049929950931279714,578.0,0.2918184265753075,0.06373626373626373,0.057999999999999996,0.03314285714285714,0.2931222169827598,False
661428009930,1071,1036,1106,14.151,Gaia DR3 5031702144593331712,14.341,0.003,4.119,4.191,4.049,0.073,0.036,0.073,-0.392,0.008,-0.428,0.008,14.94,0.043,14.91,0.136,4.76905264584072,4.841,4.699,0.022,0.022,0.022,0.009,0.009,0.009,RRC,RRL_e,RRC,RRC,12.90713,-30.71551,ASASSN-V J005137.71-304255.8,0.02999999999999936,0.14263590010933433,35.0,0.07096315063778624,0.024175824175824173,0.022,0.01257142857142857,0.08300366707827517,False
85900518359,4882,4326,5502,15.573,Gaia DR3 404590115470125312,15.418,0.007,1.563,1.826,1.303,0.412,0.201,0.412,0.676,0.029,0.475,0.029,14.58,0.032,14.233,0.056,1.0140111245941512,1.277,0.754,0.123,0.123,0.123,0.053,0.053,0.053,RRC,RRL_c,RRC,RRC,14.5071,51.42798,PS1-3PI J005801.70+512540.7,0.34699999999999953,0.0644980619863884,588.0,0.2615374389175666,0.13516483516483516,0.123,0.07028571428571428,0.2637747560998965,False
206159571490,2078,1984,2166,13.78,Gaia DR3 2784865663834409088,13.645,0.005,1.984,2.084,1.894,0.073,0.036,0.073,0.439,0.019,0.403,0.019,13.076,0.026,12.905,0.03,1.465772283894209,1.566,1.376,0.022,0.022,0.022,0.009,0.009,0.009,RRC,CEPH_1O,RRC,RRC,14.89608,17.56206,CSS_J005935.0+173343,0.17100000000000115,0.039698866482558416,91.0,0.0950933538334839,0.024175824175824173,0.022,0.01257142857142857,0.09860824480387108,False
360778411010,598,594,603,12.459,Gaia DR3 4982771231458752768,12.153,0.004,3.248,3.263,3.23,0.021,0.01,0.021,0.663,0.011,0.653,0.011,11.281,0.024,10.993,0.019,2.3914940800579463,2.406,2.373,0.006,0.006,0.006,0.003,0.003,0.003,RRC,DSCT,RRC,RRC|EC,15.11967,-44.07011,ASAS J010029-4404.2,0.28800000000000026,0.030610455730027936,4.5,0.0163405114428481,0.006593406593406593,0.006,0.003428571428571429,0.029040873165486085,False
51540712913,2216,2107,2344,14.224,Gaia DR3 363595305462086144,14.061,0.007,2.26,2.37,2.138,0.073,0.036,0.073,0.533,0.023,0.497,0.023,13.573,0.029,13.322,0.034,1.8231512197180406,1.933,1.701,0.022,0.022,0.022,0.009,0.009,0.009,RRC,EB_EC,RRC,RRC,15.12442,36.066,CSS_J010029.8+360357,0.2510000000000012,0.04468780594300866,118.5,0.11611889915508875,0.024175824175824173,0.022,0.01257142857142857,0.11970563370614463,False
335008122448,971,954,989,12.193,Gaia DR3 2582880047757416448,12.013,0.007,1.956,1.994,1.916,0.121,0.059,0.121,0.558,0.028,0.499,0.028,11.357,0.024,11.124,0.023,1.3849038504599753,1.423,1.345,0.036,0.036,0.036,0.015,0.015,0.015,RRC,RRL_c,RRC,RRC|EC,17.32896,10.40042,ASAS J010919+1024.0,0.23299999999999876,0.03324154027718933,17.5,0.03913570254020034,0.03956043956043956,0.036,0.02057142857142857,0.046049573432498186,False
