  MEAN MEDIAN    ASASSN_ID
15.351 15.223 214748380620
14.511 14.584 472446996343
14.639 14.681 352188445739
14.854 14.850 549756133935
15.451 15.452 360778286443
14.707 14.847 223339583398
15.000 15.050 575525980954
14.511 14.639 231928335274
15.519 15.629 661428145736
15.210 15.205 661428263601
12.388 12.367 661425062127
13.964 13.971 335008543190
14.878 14.923 506806372942
15.041 15.078 618475330260
12.676 12.626 661427905750
14.343 14.422 661427617739
12.128 12.104 335008102786
15.165 15.209  77309766585
13.621 13.661  94490453842
16.344 15.841 661427903888
15.374 15.457 661427650679
13.696 13.707 455266838911
15.186 15.191 644245129963
13.869 13.891 661428815708
15.739 15.715 188979752355
16.515 16.524 661428136027
12.414 12.358 584115931219
12.973 13.046 661428361570
12.632 12.618 455267045555
14.533 14.622 523986658636
17.372 16.900 661427694906
13.897 14.081 163209245761
12.279 12.277 661428485722
15.156 15.245 661428460117
10.545 10.435  60129867427
14.685 14.757 463857506808
15.282 15.386 661428757563
15.429 15.500 352187853999
14.043 14.047 661427720994
15.267 15.291 369367424634
15.672 15.687 661428145737
14.794 14.874 652835288884
14.644 14.715 661427985379
14.027 14.078 609885521105
14.853 15.010 309238844410
15.953 16.034 652835351628
15.550 15.595 395137672076
15.560 15.667 420907438494
14.164 14.050 661427630085
13.466 13.512 661427723445
12.832 12.824 395137976671
15.193 14.945 661428647435
17.148 17.303 661428250855
14.562 14.574 661428840214
14.291 14.300   8591291046
14.907 14.897 317828604900
13.896 13.894 489626801843
17.262 17.339 661428633402
16.593 16.638 661427996264
15.272 15.281 609886111681
13.519 13.509 661427705401
15.735 15.823 352187765640
15.194 15.021 549755910022
15.510 15.589 549756931393
14.858 14.862 566936104761
13.226 13.207 335008139178
14.132 14.233 352187753480
14.556 14.575 377958424092
15.360 15.363 214748478306
15.993 16.049 609885418549
16.580 16.551 661428464541
15.909 15.883 661427751787
13.704 13.700 523986219408
15.103 15.189 558346094899
15.569 15.561 498216869500
14.603 14.591  42949751439
11.421 11.251 369368371268
14.917 14.924 111669820230
15.312 15.297 249109158246
15.669 15.834 120259635673
13.963 14.096 386547129218
15.435 15.535 231929276025
15.123 15.254 532576894853
14.833 15.003 661428744807
15.662 15.773 661428025312
12.921 12.911 661428805412
15.708 15.802 489626969545
14.571 14.550 343598319654
14.855 15.054 403727112377
15.144 15.162 515396677303
14.058 14.155 283468614613
14.928 14.940 661427561734
13.476 13.482 661427554585
14.624 14.657 661427712561
15.627 15.704 197569743122
15.523 15.571 317828344543
13.831 13.831 627065845193
13.269 13.459 601296001773
15.838 15.910 661427685896
15.085 15.082 661427753650
16.054 16.136 661427706688
13.557 13.662 489627208553
14.900 14.890       388378
15.005 15.035 592706263945
14.298 14.267 661428592705
13.701 13.772  77309768450
15.450 15.437 661427715012
16.009 16.092 429497793065
15.138 15.142 541166720379
14.456 14.514 661428593990
22.953 15.336 661428306176
14.884 14.923 446677338793
14.786 14.813 661427769547
15.572 15.627 661427934682
15.543 15.562 661428125832
14.718 15.395 438087388250
15.809 15.757 661427854758
15.900 15.913 429497797489
12.685 12.712 661428387079
14.743 14.892 163209947802
15.545 15.595 463856577237
14.679 14.667 661427554586
16.097 16.018 661427547427
15.653 15.712 292058638044
15.621 15.664 661427740206
15.883 15.817 584115734707
16.019 16.166 128850052915
15.486 15.491 661427670589
15.557 15.610 206159492839
14.816 14.856 661428045220
16.921 16.743 661427814257
16.922 16.838 523986240877
15.243 15.410  60130792471
12.620 12.632 335007873391
15.026 14.971 661428474840
15.119 15.122 661428427878
16.222 16.320 206159062631
14.800 14.870 395137360424
15.158 15.248 661427905754
15.421 15.416 171798969436
14.485 14.483 661428059941
17.884 15.724 661428325496
16.917 16.982 377957412433
13.734 13.855 661425536185
14.339 14.466 635655388278
14.209 14.315 661428621932
16.444 16.448 335008660472
14.684 14.799      1352082
14.110 14.097 489626555510
16.198 16.324 661427937821
14.693 14.810 472446847690
14.897 15.010       450535
15.922 16.006 292057844090
16.010 15.999 360778378532
15.685 15.760 257698501808
14.689 14.651 661428824046
14.390 14.459 137439935415
14.966 14.962 549756702804
15.095 15.111 661428643702
11.895 11.861 154619923696
15.024 15.050 661427843874
14.836 14.844 661428293122
14.947 14.949 661428459258
14.651 14.636 566936348654
16.056 16.124 214749190073
11.393 11.368 575526232714
11.567 11.545 231929078925
15.078 15.113 661428637829
15.644 15.729 386547659947
14.612 14.613 180388966086
14.032 14.017 446677304855
15.253 15.375 489626446668
14.338 14.462 128849447276
15.158 15.189 661428749820
15.228 15.286 661427640386
11.409 11.396 369368232213
15.010 15.008 532576430709
12.303 12.297 197569490603
14.936 15.008 661427769549
14.237 14.309 309237815307
14.596 14.768 223339501215
15.671 15.664 661428833069
14.722 14.825 412317877761
15.652 15.655 137440023785
15.872 15.900 283468035454
14.250 14.250 549756930111
13.676 13.672 369367927611
12.373 12.405 506807164351
15.548 15.533 661427615193
14.845 14.847 661427658145
13.967 14.066 541166254486
14.834 14.869 661427893986
15.613 15.706 429497689225
15.235 15.367 472446455425
15.384 15.385 103080179308
14.190 13.829 661428384620
14.459 14.457 661427797890
14.310 14.348 661427973213
14.296 14.340 584115985070
12.035 12.081 249108438336
15.490 15.586 223339640273
15.521 15.620 231929489127
11.867 11.861 575526610261
14.899 14.871 481037174539
14.880 14.876 661427713152
14.472 14.491  34360573273
13.726 13.734 352187856454
20.707 15.373 661428303030
15.521 15.506 532576222622
16.031 16.050 661428597031
14.178 14.274 661428772464
15.274 15.358 171798858034
14.415 14.406 446677038614
13.783 13.780 206159571490
15.179 15.170 661428605763
15.496 15.554 661428550344
16.073 16.137 661428011293
15.158 15.190 661427956455
16.296 16.218 661428064542
15.049 15.103 661428596444
14.407 14.448  94490657237
13.312 13.312 171799551855
15.082 15.114 661428102790
13.982 13.563 618475465303
14.971 15.051 661428012569
14.519 14.622 283468208052
13.555 13.636 274879217466
16.863 16.853 661428029052
13.309 13.381 188978734826
14.360 14.546 661427782583
14.444 14.440 180389121435
14.969 14.959 661428646165
16.018 16.098 120259642827
13.289 13.275 498216802223
14.724 14.770 292058204104
12.996 13.164 601296017673
14.391 14.455 197569164652
15.328 15.300 541166513570
15.631 15.728 472447647521
15.359 15.391 601296206441
12.418 12.402 360778099545
14.316 14.440  77309832483
14.589 14.581 240518248682
16.059 16.159 549756210719
15.727 15.743 566936099183
13.418 13.418 618475687424
15.507 15.585 257698371488
15.281 15.163 283468673063
16.129 16.236 274877953362
15.682 15.758 661427715704
13.208 13.139 257699137799
14.112 14.118 575525946059
14.006 14.008 352187462326
14.528 14.528 661427628630
15.606 15.636 661428551620
14.098 14.099 627066034485
14.124 14.116  25770915633
14.024 14.109  60130559882
15.224 15.275 618476072639
12.925 12.926 584116509356
15.008 15.063  77310531394
14.915 14.916 429497755119
13.758 13.755 661427557040
14.914 14.937 395137044772
15.840 15.835 369368404225
14.554 14.556 403728011454
14.869 14.878 661428639007
14.944 14.912 154619066125
14.532 14.556 120259893877
13.539 13.530 274879246396
15.295 15.309 652835751638
14.850 14.913  77310021262
 9.968  9.878 661428298824
16.103 16.131  17180094191
14.252 14.361 601295831800
14.727 14.716 274878571582
15.543 15.568 661428685392
13.624 13.695 188979424537
16.189 16.194 661428364716
15.326 15.319 618475453832
10.923 10.310 266288404228
15.208 15.371 661427866235
15.098 15.110 257698658628
15.022 15.060 609885628505
14.703 14.728 352188490847
14.143 14.282 249108704580
15.009 15.069 369367481901
12.237 12.185 661428667349
15.647 15.648 661428594583
14.799 14.793 609885749519
13.032 13.032 231928988198
14.625 14.749 249108835891
14.719 14.755 360778294886
13.959 14.013 274878860182
14.850 14.862 292058857709
15.301 15.308 163209420504
14.103 14.151 335007535273
15.875 15.940 240518235926
16.402 16.371 661427855350
15.225 15.209 661428003549
16.179 16.253 515396386847
15.365 15.374 489627281302
15.624 15.607 661427577636
14.381 14.350 120260431273
14.892 15.020 420907804565
15.394 15.446 635656047888
15.986 15.990 429497187530
15.737 15.846 317827959335
14.978 15.012 661427894577
13.101 13.088 326418455740
14.497 14.499 249108143453
15.686 15.669 300647764703
14.645 14.651 661427752381
15.129 15.129 223339063665
12.054 12.050 429497306979
15.851 15.896 661428600755
16.184 16.223 661428643707
14.001 14.008  17180414569
14.037 14.123 300648568965
14.430 14.434  17180159211
17.752 17.865 661428215372
14.429 14.506 231929519631
16.020 15.997 661428067693
15.247 15.351 661427588521
15.198 15.312 369367259507
16.715 16.817  85899713377
15.253 15.250 584116660850
15.234 15.227 283468591278
16.409 16.384 661427982239
11.363 11.368 661428953499
14.208 14.314 661427694227
15.032 15.034 292058242745
15.552 15.631 661428442091
15.719 15.772 661428608217
15.754 15.771 661428758847
15.416 15.450 652835642796
11.622 11.623 661427549993
14.568 14.624 489626368610
14.761 14.819 661427678056
15.443 15.579 446677680923
14.727 14.857 352188418692
14.915 14.963 661427946849
15.656 15.674 463857519574
13.740 13.736 661428597035
15.578 15.571 326418663829
14.913 14.915 661427711293
16.059 16.087 661427887419
14.394 14.404 429497671470
14.171 14.252 661427664023
13.757 13.756 326418699631
16.213 16.224 309238911596
16.095 16.123 481036553185
14.931 14.972 661427537136
15.841 15.908 592705858143
14.389 14.377 661428212225
15.582 15.577 661428570942
13.677 13.822 472446848971
15.099 15.099 317827983254
15.625 15.679 661428747275
14.183 14.129 257698272247
15.288 15.346 300648383511
14.703 14.700 661428825327
15.531 15.607 661428130438
14.297 14.385 240519316619
10.283  9.997 498216424690
15.035 15.078 171799931268
14.831 14.850 661428003550
12.674 12.668 111669848992
13.791 13.873 120259233805
14.272 14.266 163209419643
14.215 13.565 661427728465
14.732 14.701 180388710031
14.628 14.712 661427770417
13.992 13.999 601296423554
15.776 15.884 309237985161
15.265 15.220 661428004826
15.998 16.063 661428238419
14.947 14.956 317827715447
14.405 14.391 661427608727
14.697 14.715 661425395661
15.326 15.324 644245643419
15.226 15.247 609885488575
14.425 14.185 661427844468
15.113 15.195 515396681322
40.958 14.161 661427779851
15.342 15.373 137439204454
16.085 16.161 463857261355
16.273 16.291 661428361580
12.597 12.679 369367213409
15.393 15.451 661428581140
14.724 14.656 661427893991
13.112 13.144 661427760808
16.774 17.041 661428275782
17.484 17.571 661428052387
14.974 14.994 661427829572
13.817 13.849 515396576205
15.540 15.602 489626349990
15.719 15.746 317828227961
13.986 14.109 223339503781
13.366 13.371 481037519838
14.770 14.831 661427711982
15.795 15.909 652835078934
13.976 13.975 661427667860
15.011 14.890 386547356633
14.426 14.435 661428706875
15.291 15.260 214749262258
15.017 15.010 661428641159
14.902 14.972 360778331164
13.719 13.962 661428270084
14.841 14.894 455267565995
14.160 14.263 661428687259
16.094 16.174 575526184873
12.939 12.941 283468550879
14.642 14.693 489626893640
15.700 15.783 566936410817
14.917 15.006 223338829280
15.772 15.858  77310308405
14.998 14.977 377957644170
14.021 14.019 257698737280
13.162 13.154 463856918803
15.361 15.460 317828384366
15.141 15.225 292058926064
15.626 15.675 515396840585
14.911 14.916 558346900399
15.995 16.049 292058803188
15.620 15.713 386547695344
15.527 15.532 661428007288
15.511 15.496 661427642943
14.628 14.610 558346266908
12.962 12.957  17180485177
15.147 15.141 661427628635
14.560 14.522 661428594587
14.585 14.648 661427839870
14.377 14.375 472446897111
17.079 17.110 120260164447
13.639 13.708 575525937041
13.682 13.791 412317210132
14.348 14.341 240519475585
17.085 13.526 661428282245
14.664 14.775 438087567418
14.284 14.259  60129589036
14.401 14.486 352187555003
15.914 16.014 137439960616
15.003 15.010 661428626951
15.859 15.903 386548084982
14.829 14.968 206158725283
15.593 15.644 214748763878
14.600 14.597 661428283520
11.528 11.537 661428930447
15.236 15.228 386547550699
15.376 15.370  34360604369
13.360 13.389 661428652732
15.417 15.496 249108753410
15.481 15.490 661427745226
13.985 14.644 661427802793
15.796 15.783 231929182088
10.129  8.131 386547451455
15.975 16.066 627065920107
15.909 15.900 661427879685
12.035 12.032 661428409155
14.218 14.339 532576360401
15.069 15.184 523987026406
13.751 13.782 661428652045
15.185 15.245 661427724044
15.962 16.032 661427533403
14.472 14.467 661427759947
15.984 16.253 661427884971
14.576 14.662 661427669725
11.137 11.120 661427687081
15.431 15.554  17180360429
14.584 14.645 206159624356
16.033 16.165  51539683482
14.154 14.269 541166369623
13.613 13.609 352188196966
14.952 14.946 644245642146
14.747 14.829 386547999253
13.809 13.803 472447641241
11.868 11.850 292058836531
14.742 14.819 661427773568
16.035 16.136 661427831025
15.550 15.532 498216747910
15.006 15.175 481036846201
13.586 13.710 661428597039
14.644 14.650 420907792102
13.533 13.524 438087367766
15.222 15.303 566936396213
16.084 16.192 369367231455
16.083 16.151 188979228615
15.445 15.525 661427546161
14.763 14.744 438087553396
14.708 14.636 661428833077
14.034 14.185 128849382943
13.717 13.722 146030080840
15.996 15.839 661427774843
15.387 15.488 120259481021
13.923 13.948 472446440812
15.509 15.648 506807000394
14.103 14.113 661428698833
14.767 14.766 317827661306
15.982 16.013 661427820140
12.390 12.381 489627452041
15.785 15.884 326418309539
14.851 14.917 661428701179
15.060 14.981 661428546340
15.630 15.612 661428413167
15.686 15.790 549756234368
15.336 15.330 661428499080
14.914 14.914 661428556638
15.495 15.502 180389599612
14.373 14.437 214748640305
13.071 13.058 266288287346
13.529 13.512 438087074056
15.501 15.487 309238690458
15.389 15.503 661428371193
15.933 15.933 300648818343
16.290 16.332 103080357897
13.232 13.332 266289206622
15.043 15.027 661427955875
16.054 16.022 661428372469
17.184 17.195  34360718912
13.813 13.797 180388926281
13.754 13.740  60130498596
15.676 15.692 661427763271
12.111 12.101 360777553796
14.680 14.739 661427650692
14.534 14.532 592705583169
14.716 14.811 515396498844
15.086 15.245 446677481175
15.069 15.182 455266608380
15.135 15.132 661428592029
13.555 13.568 661428815721
12.759 12.872 188979429554
14.242 14.349 481036488573
15.744 15.742 661428139189
15.356 15.351 661427617065
14.330 14.194 335007605594
14.081 14.070  85900069198
15.536 15.571 661428558501
16.953 17.042 661428079859
16.069 16.112 326417689848
11.907 11.963 274878676421
14.863 14.873 489626509833
15.933 16.006 266288899173
13.280 13.233 661428282935
14.003 14.160 395137762999
14.309 14.382 292058608539
14.829 14.833 661427760811
14.127 14.183 395138037111
14.300 14.288 661427530267
14.693 14.735 661427713849
14.001 14.026 343598289165
15.130 15.128 352188198830
15.605 15.607 661427734343
14.354 14.362 661427884973
15.056 15.041 266288609596
14.674 14.696  25770622618
15.111 15.113 601295780124
14.908 15.001 206159554730
10.756 10.699 584116133278
15.803 15.874 661428613509
14.366 14.437 661427695508
14.581 14.503 575525872703
15.457 15.540 661428623806
13.093 13.095 661428734522
15.469 15.444 103080078210
12.069 12.062 369367541926
12.578 13.154 661427813680
15.829 15.820 335007737493
